num_reg,time,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUInsts,SALUInsts,SFetchInsts,GDSInsts,VALUBusy,MemUnitStalled,FetchSize,WriteSize
7424,32.281284,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3211348,3211348,307200,64,29696,0,12,12,32,64,0x0,0x7f973c1fa6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1045937630,16.8887111418,7815703.7500000000,3906250.0000000000
7680,32.288342,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3211613,3211613,307200,64,30720,0,12,12,32,64,0x0,0x7ff22c5ea6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1150849251,17.0623935918,7815686.3750000000,3906250.0000000000
7936,32.308807,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3211869,3211869,307200,64,31744,0,12,12,32,64,0x0,0x7f240bf566c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1135085954,17.1266749852,7815569.0000000000,3906250.0000000000
8192,32.369133,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3212138,3212138,307200,64,32768,0,12,12,32,64,0x0,0x7feea75ec6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,4.1084478923,16.8509829813,7815724.3750000000,3906250.0000000000
8704,61.133003,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3212408,3212408,307200,64,34816,0,12,12,32,64,0x0,0x7f54a83fc6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1540002612,9.7875944109,7815850.6250000000,3906250.0000000000
9216,61.106544,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3212655,3212655,307200,64,36864,0,12,12,32,64,0x0,0x7f3784d0c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1544856046,9.7820202485,7815768.7500000000,3906250.0000000000
9728,61.029957,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3212924,3212924,307200,64,38912,0,12,12,32,64,0x0,0x7f72313a26c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1542150318,9.7924416659,7815853.2500000000,3906250.0000000000
10240,61.108345,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3213173,3213173,307200,64,40960,0,12,12,32,64,0x0,0x7fe4c83166c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1552567176,9.7915480112,7815769.7500000000,3906250.0000000000
10752,61.150105,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3213421,3213421,307200,64,43008,0,12,12,32,64,0x0,0x7efc9e5c66c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1542077637,9.7868701640,7815799.6875000000,3906250.0000000000
11264,61.169621,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3213671,3213671,307200,64,45056,0,12,12,32,64,0x0,0x7f1b241b66c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,2.1542811128,9.7910125747,7815906.5000000000,3906250.0000000000
